Fold,Strategy,Sharpe,Sortino,CAGR,Vol,MDD,TO
4,NLPI[gemma3:270m|P4],0.26816561668901057,0.39408140542342296,0.02504983361175306,0.11863573362973164,-0.18776959509898716,0.007643546666920147
4,NLPI[gemma3:270m|P5],0.26816561668901057,0.39408140542342296,0.02504983361175306,0.11863573362973164,-0.18776959509898716,0.007643546666920147
4,NLPI[gemma3:1b|P1],0.3270909646131627,0.48473511625115046,0.04831029782542817,0.2171709479017864,-0.3145232529308096,0.00989429974366225
4,NLPI[gemma3:1b|P2],0.32239193456290355,0.47626275412680913,0.014629751622970977,0.0487392373014024,-0.07841645867594282,0.004620989425660336
4,NLPI[gemma3:1b|P3],0.20408696199991125,0.3103293525954764,0.02081957445886462,0.2108736657897854,-0.31512917863408807,0.008081532593884545
4,NLPI[gemma3:1b|P4],0.26816561668901057,0.39408140542342296,0.02504983361175306,0.11863573362973164,-0.18776959509898716,0.007643546666920147
4,NLPI[gemma3:1b|P5],0.26816561668901057,0.39408140542342296,0.02504983361175306,0.11863573362973164,-0.18776959509898716,0.007643546666920147
5,EQUAL,1.5658491647565203,2.6707893060681633,0.1264469756986879,0.07799708374438583,-0.07489898595268174,0.005652871307086259
5,RiskParity,1.6287751557844627,2.796705696230798,0.0947492808135626,0.05656918272036841,-0.049764710835143,0.005802893036384535
5,MVP,2.575741523907681,4.646589068849089,0.07023149192011746,0.02649117459389944,-0.018373186932920116,0.007885111301443535
5,MOM6,1.4381666826100294,2.3935015028792646,0.1546589547440802,0.10375545891773601,-0.10804505053497993,0.01084554739658121
5,SHARPE,1.788733416454854,3.0409068956959207,0.09025644046994907,0.04898771398362402,-0.03925899822117607,0.009442590729671045
5,CODED_P1,1.3202854769732923,2.1916587888040553,0.16596105562170016,0.12194609732842059,-0.1374826666443404,0.01017724081668944
5,CODED_P2,2.400253197600411,4.207832516624876,0.0808810707758707,0.032629869583374035,-0.0284058507039755,0.0034390246222509376
5,CODED_P3,1.3763902542780797,2.2984844168737126,0.1161297673290389,0.08229472745771153,-0.10774907081172391,0.011162341025066014
5,CODED_P4,1.5658491647565203,2.6707893060681633,0.1264469756986879,0.07799708374438583,-0.07489898595268174,0.005652871307086259
5,CODED_P5,1.5433279392029728,2.6466597444682005,0.07148267453163215,0.045409769172146994,-0.03883577767992308,0.009364572409182285
5,NLPI[llama3.1:8b|P1],1.625744229712805,2.7804025738994635,0.2684050335565584,0.15356816898925746,-0.10556990207175387,0.01087776860333559
5,NLPI[llama3.1:8b|P2],2.2776429113981744,3.9915432521815766,0.07466603076884204,0.03184270811718382,-0.0284058507039755,0.004710195123805685
5,NLPI[llama3.1:8b|P3],0.9959840350454581,1.6895177402980375,0.12246179236138488,0.12368785634792548,-0.11445443002850308,0.010477978005707926
5,NLPI[llama3.1:8b|P4],1.5658491647565203,2.6707893060681633,0.1264469756986879,0.07799708374438583,-0.07489898595268174,0.005652871307086259
5,NLPI[llama3.1:8b|P5],1.5658491647565203,2.6707893060681633,0.1264469756986879,0.07799708374438583,-0.07489898595268174,0.005652871307086259
5,NLPI[gemma3:270m|P1],1.4550555693601128,2.516001512937199,0.29164598664958774,0.18812079468248913,-0.12789075689777862,0.0072513131641268125
5,NLPI[gemma3:270m|P2],2.400253197600411,4.207832516624876,0.0808810707758707,0.032629869583374035,-0.0284058507039755,0.0034390246222509376
5,NLPI[gemma3:270m|P3],1.4550555693601128,2.516001512937199,0.29164598664958774,0.18812079468248913,-0.12789075689777862,0.0072513131641268125
5,NLPI[gemma3:270m|P4],1.5658491647565203,2.6707893060681633,0.1264469756986879,0.07799708374438583,-0.07489898595268174,0.005652871307086259
5,NLPI[gemma3:270m|P5],1.5658491647565203,2.6707893060681633,0.1264469756986879,0.07799708374438583,-0.07489898595268174,0.005652871307086259
5,NLPI[gemma3:1b|P1],1.3342209136391667,2.2467990438783465,0.21300271999378517,0.15362356141095346,-0.12947407959439317,0.008306349432399463
5,NLPI[gemma3:1b|P2],2.400253197600411,4.207832516624876,0.0808810707758707,0.032629869583374035,-0.0284058507039755,0.0034390246222509376
5,NLPI[gemma3:1b|P3],1.169372194359967,1.9907047017533388,0.1386370589783792,0.11688525314820164,-0.12664743044410753,0.003949065164867066
5,NLPI[gemma3:1b|P4],1.5658491647565203,2.6707893060681633,0.1264469756986879,0.07799708374438583,-0.07489898595268174,0.005652871307086259
5,NLPI[gemma3:1b|P5],1.5658491647565203,2.6707893060681633,0.1264469756986879,0.07799708374438583,-0.07489898595268174,0.005652871307086259
ALL,EQUAL,0.7320012021526652,1.136581648287976,0.0592552516543432,0.08341561030628339,-0.18776959509898716,0.006047996686555041
ALL,RiskParity,0.8410238401368395,1.3013342565209836,0.04502220149673053,0.05411052224884893,-0.1459951430696228,0.006169710566424933
ALL,MVP,0.9791073685429461,1.5069059853993987,0.023422307899817252,0.023940132196813582,-0.07058887461733865,0.0069021074952574386
ALL,MOM6,0.6536611558925847,0.9762901090427246,0.07015419436605486,0.11368691734657911,-0.2792859120021699,0.010729857405975218
ALL,SHARPE,0.6662655005196958,0.9933908584474046,0.05749709021717919,0.09002431286880282,-0.2157921707455137,0.010522362031130977
ALL,CODED_P1,0.620306709654026,0.9313095821929402,0.08150434356881253,0.14287332834230881,-0.30015829054897225,0.010675072806144293
ALL,CODED_P2,0.9516243783412008,1.4897466322883821,0.03289469777798604,0.03464378207788914,-0.07841645867594293,0.0035484046150966605
ALL,CODED_P3,0.4729267868395005,0.7528160909944541,0.04341159906092362,0.10057268058226887,-0.27534561881096464,0.011837632113573252
ALL,CODED_P4,0.7320012021526652,1.136581648287976,0.0592552516543432,0.08341561030628339,-0.18776959509898716,0.006047996686555041
ALL,CODED_P5,0.615336563749118,0.9254136839121664,0.05507054399888367,0.09439690224641668,-0.21734522158683567,0.010589861701841289
ALL,NLPI[llama3.1:8b|P1],0.7809292407941417,1.227211203058633,0.1072996096471428,0.1438380468219551,-0.24966662750450863,0.010078204133199768
ALL,NLPI[llama3.1:8b|P2],0.8929389143262716,1.4275826843707005,0.028610808418545908,0.032172837497510196,-0.07465979625735308,0.00510153444236527
ALL,NLPI[llama3.1:8b|P3],0.33924500840222926,0.5299465790010454,0.03475047820365962,0.12310376358830032,-0.42343193744493013,0.006583989993981333
ALL,NLPI[llama3.1:8b|P4],0.7320012021526652,1.136581648287976,0.0592552516543432,0.08341561030628339,-0.18776959509898716,0.006047996686555041
ALL,NLPI[llama3.1:8b|P5],0.7320012021526652,1.136581648287976,0.0592552516543432,0.08341561030628339,-0.18776959509898716,0.006047996686555041
ALL,NLPI[gemma3:270m|P1],0.8061669768414267,1.2938168809312682,0.11903439521352799,0.15435084684011952,-0.2823489403279773,0.006262818308054428
ALL,NLPI[gemma3:270m|P2],0.9516243783412008,1.4897466322883821,0.03289469777798604,0.03464378207788914,-0.07841645867594293,0.0035484046150966605
ALL,NLPI[gemma3:270m|P3],0.6104659261421964,0.964881704838259,0.07772476284514696,0.13837061304891682,-0.3116364625755137,0.006055839657718526
ALL,NLPI[gemma3:270m|P4],0.7320012021526652,1.136581648287976,0.0592552516543432,0.08341561030628339,-0.18776959509898716,0.006047996686555041
ALL,NLPI[gemma3:270m|P5],0.7320012021526652,1.136581648287976,0.0592552516543432,0.08341561030628339,-0.18776959509898716,0.006047996686555041
ALL,NLPI[gemma3:1b|P1],0.7806044810290016,1.1975100490205228,0.10679660888642961,0.14324132515741841,-0.3145232529308096,0.006726018793040416
ALL,NLPI[gemma3:1b|P2],0.9516243783412008,1.4897466322883821,0.03289469777798604,0.03464378207788914,-0.07841645867594293,0.0035484046150966605
ALL,NLPI[gemma3:1b|P3],0.34551438788651756,0.5249327322931249,0.03629482719969168,0.12645491529939262,-0.3151291786340876,0.005873439734032428
ALL,NLPI[gemma3:1b|P4],0.7320012021526652,1.136581648287976,0.0592552516543432,0.08341561030628339,-0.18776959509898716,0.006047996686555041
ALL,NLPI[gemma3:1b|P5],0.7320012021526652,1.136581648287976,0.0592552516543432,0.08341561030628339,-0.18776959509898716,0.006047996686555041
